avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
35,"{""mean"": 35.1, ""bench"": ""chameleon-7e91b517c82dfc"", ""payload"": ""{\""nrow\"": 84, \""ncol\"": 84}""}",2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
650,"{""mean"": 654.1, ""bench"": ""matmul_fb-ee9f2f91ee1b94"", ""payload"": ""{\""N\"": 752, \""M\"": 752}""}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,5,4,4,5,5,4,5,5
7,"{""mean"": 7.0, ""bench"": ""matmul_fb-68ab419d4db4f0"", ""payload"": ""{\""N\"": 176, \""M\"": 176}""}",1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40,"{""mean"": 40.4, ""bench"": ""chameleon-031754f4d76475"", ""payload"": ""{\""nrow\"": 92, \""ncol\"": 92}""}",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1
171,"{""mean"": 169.5, ""bench"": ""matmul_fb-88dba8d7065db9"", ""payload"": ""{\""N\"": 480, \""M\"": 480}""}",2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
17,"{""mean"": 17.1, ""bench"": ""json_serdes-fdd607a3105f"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""1.json\""}""}",1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,1,3,2,2,2,2,2,1,1,1,1,1
154,"{""mean"": 155.0, ""bench"": ""chameleon-f427733950a1b0"", ""payload"": ""{\""nrow\"": 208, \""ncol\"": 208}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,"{""mean"": 56.3, ""bench"": ""chameleon-9195b6b7fa8966"", ""payload"": ""{\""nrow\"": 116, \""ncol\"": 116}""}",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2
919,"{""mean"": 912.4, ""bench"": ""chameleon-9c286943da1ca8"", ""payload"": ""{\""nrow\"": 520, \""ncol\"": 520}""}",0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,3,0,0,5,3,3,2,2,3,3
352,"{""mean"": 350.2, ""bench"": ""json_serdes-a621af5b426c"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n11008.json\""}""}",2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1
69,"{""mean"": 69.0, ""bench"": ""pyaes-1e0141afce165bc87c"", ""payload"": ""{\""message_length\"": 432, \""num_iterations\"": 26}""}",1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21,"{""mean"": 21.0, ""bench"": ""pyaes-46f9aa2930f54f45ff"", ""payload"": ""{\""message_length\"": 48, \""num_iterations\"": 51}""}",1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
342,"{""mean"": 343.1, ""bench"": ""matmul_fb-df8f3cce214a88"", ""payload"": ""{\""N\"": 608, \""M\"": 608}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,2,2,3,3,2,2,1,1,1
134,"{""mean"": 135.2, ""bench"": ""cnn_serving_geol-f9eecf9"", ""payload"": ""{\""img_idx\"": 0}""}",1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1
68,"{""mean"": 68.1, ""bench"": ""matmul_fb-b72267e1002ab6"", ""payload"": ""{\""N\"": 368, \""M\"": 368}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
446,"{""mean"": 444.3, ""bench"": ""chameleon-7614e52b463374"", ""payload"": ""{\""nrow\"": 360, \""ncol\"": 360}""}",0,0,0,0,1,2,3,3,2,2,1,1,1,2,2,2,2,3,3,3,2,1,1,1,1,0,0,0,0,0
135208,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,4,3,1,1,1,1,1,1,1
92,"{""mean"": 92.0, ""bench"": ""pyaes-bae189d83b7ed1ba04"", ""payload"": ""{\""message_length\"": 288, \""num_iterations\"": 51}""}",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0
147,"{""mean"": 148.2, ""bench"": ""json_serdes-85677aafebae"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n4480.json\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1
254,"{""mean"": 256.3, ""bench"": ""json_serdes-b4de0d2b5b15"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n7936.json\""}""}",2,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
531,"{""mean"": 526.4, ""bench"": ""pyaes-2e028f9b184242551a"", ""payload"": ""{\""message_length\"": 3520, \""num_iterations\"": 26}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
25,"{""mean"": 25.0, ""bench"": ""pyaes-6b201c241f85dbc15c"", ""payload"": ""{\""message_length\"": 3904, \""num_iterations\"": 1}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1
47,"{""mean"": 47.0, ""bench"": ""chameleon-c45928c11bf0d4"", ""payload"": ""{\""nrow\"": 104, \""ncol\"": 104}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1
151,"{""mean"": 149.6, ""bench"": ""pyaes-e90054cda7cec3bdff"", ""payload"": ""{\""message_length\"": 80, \""num_iterations\"": 251}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
269,"{""mean"": 267.3, ""bench"": ""pyaes-9ec8cd7eb8b66d40e2"", ""payload"": ""{\""message_length\"": 208, \""num_iterations\"": 201}""}",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245,"{""mean"": 243.8, ""bench"": ""chameleon-f385b3120de5d5"", ""payload"": ""{\""nrow\"": 264, \""ncol\"": 264}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,"{""mean"": 10.0, ""bench"": ""rnn_serving-2207ecc6f16f"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Chinese\"", \""start_letters\"": \""BCDEFGHIJKLMNOPQRSTUVWXY\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1
541,"{""mean"": 543.2, ""bench"": ""chameleon-1c0f690c40298c"", ""payload"": ""{\""nrow\"": 400, \""ncol\"": 400}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,"{""mean"": 76.0, ""bench"": ""pyaes-d0a16aff570e36de4d"", ""payload"": ""{\""message_length\"": 64, \""num_iterations\"": 151}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,"{""mean"": 81.4, ""bench"": ""chameleon-9c8958ad2d2358"", ""payload"": ""{\""nrow\"": 144, \""ncol\"": 144}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,"{""mean"": 267.3, ""bench"": ""pyaes-9ec8cd7eb8b66d40e2"", ""payload"": ""{\""message_length\"": 208, \""num_iterations\"": 201}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
545,"{""mean"": 543.2, ""bench"": ""chameleon-1c0f690c40298c"", ""payload"": ""{\""nrow\"": 400, \""ncol\"": 400}""}",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,"{""mean"": 103.1, ""bench"": ""pyaes-0958d24d76320041c5"", ""payload"": ""{\""message_length\"": 48, \""num_iterations\"": 251}""}",0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0
138,"{""mean"": 136.9, ""bench"": ""pyaes-fb46d0a4dd72bee359"", ""payload"": ""{\""message_length\"": 288, \""num_iterations\"": 76}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,"{""mean"": 88.0, ""bench"": ""chameleon-b8166d3fd45201"", ""payload"": ""{\""nrow\"": 152, \""ncol\"": 152}""}",1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1
297,"{""mean"": 295.3, ""bench"": ""pyaes-62e028396f54a96948"", ""payload"": ""{\""message_length\"": 480, \""num_iterations\"": 101}""}",0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0
1504,"{""mean"": 1489.2, ""bench"": ""chameleon-c1dbbbf7f0e25b"", ""payload"": ""{\""nrow\"": 664, \""ncol\"": 664}""}",0,2,3,2,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
2621,"{""mean"": 2594.8, ""bench"": ""pyaes-bc838c4bf15df84f13"", ""payload"": ""{\""message_length\"": 3584, \""num_iterations\"": 126}""}",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0
204,"{""mean"": 202.8, ""bench"": ""chameleon-fbbc73efd81509"", ""payload"": ""{\""nrow\"": 240, \""ncol\"": 240}""}",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,"{""mean"": 105.6, ""bench"": ""chameleon-75bfff6460c525"", ""payload"": ""{\""nrow\"": 168, \""ncol\"": 168}""}",1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1340,"{""mean"": 1345.4, ""bench"": ""chameleon-2449bcf27497b9"", ""payload"": ""{\""nrow\"": 632, \""ncol\"": 632}""}",0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
22,"{""mean"": 22.0, ""bench"": ""chameleon-65a1a192ef1d59"", ""payload"": ""{\""nrow\"": 56, \""ncol\"": 56}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
20,"{""mean"": 19.9, ""bench"": ""chameleon-ba8fa7721b7f50"", ""payload"": ""{\""nrow\"": 48, \""ncol\"": 48}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,"{""mean"": 111.1, ""bench"": ""pyaes-61196e257c532afcec"", ""payload"": ""{\""message_length\"": 352, \""num_iterations\"": 51}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
337,"{""mean"": 335.8, ""bench"": ""chameleon-f0550b971b732f"", ""payload"": ""{\""nrow\"": 312, \""ncol\"": 312}""}",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,"{""mean"": 220.7, ""bench"": ""json_serdes-074f2a064b17"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6784.json\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,"{""mean"": 60.6, ""bench"": ""chameleon-51e0e775314fbc"", ""payload"": ""{\""nrow\"": 120, \""ncol\"": 120}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,"{""mean"": 205.8, ""bench"": ""pyaes-857b701ab968081803"", ""payload"": ""{\""message_length\"": 672, \""num_iterations\"": 51}""}",1,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,2,2,2,2,1,1,2,4,1,1,1,1,1
145,"{""mean"": 146.3, ""bench"": ""chameleon-092b841af2ffcd"", ""payload"": ""{\""nrow\"": 200, \""ncol\"": 200}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1500,"{""mean"": 1489.2, ""bench"": ""chameleon-c1dbbbf7f0e25b"", ""payload"": ""{\""nrow\"": 664, \""ncol\"": 664}""}",0,1,1,1,1,1,1,1,2,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,"{""mean"": 23.0, ""bench"": ""pyaes-4fa243e605e3e2346c"", ""payload"": ""{\""message_length\"": 128, \""num_iterations\"": 26}""}",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,"{""mean"": 110.0, ""bench"": ""pyaes-058b0661282d9bde44"", ""payload"": ""{\""message_length\"": 704, \""num_iterations\"": 26}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,"{""mean"": 174.9, ""bench"": ""json_serdes-60155bbfca3d"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n5248.json\""}""}",1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
399,"{""mean"": 398.6, ""bench"": ""json_serdes-21e42cbf6a25"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n12544.json\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1970,"{""mean"": 1975.3, ""bench"": ""chameleon-1102a8bda7caf5"", ""payload"": ""{\""nrow\"": 768, \""ncol\"": 768}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,"{""mean"": 132.3, ""bench"": ""new_lr_serving-403fc2732"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews100mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews100mb.pk\"", \""x\"": \""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly.  \""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
122,"{""mean"": 121.3, ""bench"": ""pyaes-a1eaefa55f5706d00f"", ""payload"": ""{\""message_length\"": 96, \""num_iterations\"": 176}""}",1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,"{""mean"": 124.2, ""bench"": ""chameleon-735d1589b60c31"", ""payload"": ""{\""nrow\"": 184, \""ncol\"": 184}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
86,"{""mean"": 86.0, ""bench"": ""pyaes-1314ad9f3c97746397"", ""payload"": ""{\""message_length\"": 544, \""num_iterations\"": 26}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2732,"{""mean"": 2706.3, ""bench"": ""pyaes-f4c6f799a8c04460b5"", ""payload"": ""{\""message_length\"": 3712, \""num_iterations\"": 126}""}",0,1,5,5,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,"{""mean"": 1005.3, ""bench"": ""pyaes-95e9d78c9803ce05d7"", ""payload"": ""{\""message_length\"": 976, \""num_iterations\"": 176}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,"{""mean"": 174.9, ""bench"": ""json_serdes-60155bbfca3d"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n5248.json\""}""}",0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,"{""mean"": 126.1, ""bench"": ""json_serdes-0acf29630a34"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n3712.json\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
453,"{""mean"": 448.7, ""bench"": ""pyaes-34ac01921fa95cb33d"", ""payload"": ""{\""message_length\"": 3008, \""num_iterations\"": 26}""}",0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,"{""mean"": 463.3, ""bench"": ""chameleon-a67cd08e80ba00"", ""payload"": ""{\""nrow\"": 368, \""ncol\"": 368}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,"{""mean"": 158.2, ""bench"": ""pyaes-0d65410aaddcd1fd15"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 76}""}",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,0,0,0
2633,"{""mean"": 2633.3, ""bench"": ""pyaes-6d49d3e64261cb4001"", ""payload"": ""{\""message_length\"": 4480, \""num_iterations\"": 101}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
485,"{""mean"": 484.1, ""bench"": ""chameleon-2377c4644e5e28"", ""payload"": ""{\""nrow\"": 376, \""ncol\"": 376}""}",0,0,0,0,0,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
629,"{""mean"": 622.9, ""bench"": ""pyaes-e946b510f938fef46a"", ""payload"": ""{\""message_length\"": 2112, \""num_iterations\"": 51}""}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
306,"{""mean"": 303.9, ""bench"": ""chameleon-7bb36be2d0d21d"", ""payload"": ""{\""nrow\"": 296, \""ncol\"": 296}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80864,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,"{""mean"": 71.9, ""bench"": ""pyaes-e39c44503dc4bcc7a4"", ""payload"": ""{\""message_length\"": 32, \""num_iterations\"": 226}""}",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1
3228,"{""mean"": 3209.6, ""bench"": ""pyaes-073f82a00ebd169641"", ""payload"": ""{\""message_length\"": 26624, \""num_iterations\"": 21}""}",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,"{""mean"": 117.9, ""bench"": ""json_serdes-87f4f6b4073e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""search.json\""}""}",0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2314,"{""mean"": 2329.5, ""bench"": ""chameleon-1cf10f889b443a"", ""payload"": ""{\""nrow\"": 832, \""ncol\"": 832}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,"{""mean"": 73.8, ""bench"": ""pyaes-a2bff0c0d366655b4b"", ""payload"": ""{\""message_length\"": 144, \""num_iterations\"": 76}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
492,"{""mean"": 488.7, ""bench"": ""pyaes-ff4a9b49d281b97bc4"", ""payload"": ""{\""message_length\"": 3264, \""num_iterations\"": 26}""}",1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0
142,"{""mean"": 141.1, ""bench"": ""pyaes-6043762fb4e330639b"", ""payload"": ""{\""message_length\"": 22528, \""num_iterations\"": 1}""}",0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,1,2,1,2,0,1,1,1,0,0,0,0,0,0
173,"{""mean"": 171.7, ""bench"": ""pyaes-d78d2eabc4130e2d13"", ""payload"": ""{\""message_length\"": 96, \""num_iterations\"": 251}""}",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,"{""mean"": 220.7, ""bench"": ""json_serdes-074f2a064b17"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6784.json\""}""}",1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,2,3,1
1750,"{""mean"": 1739.3, ""bench"": ""chameleon-27b70e30fb06c6"", ""payload"": ""{\""nrow\"": 720, \""ncol\"": 720}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,"{""mean"": 46.0, ""bench"": ""pyaes-aa1b3da5b10e2862a0"", ""payload"": ""{\""message_length\"": 7232, \""num_iterations\"": 1}""}",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,"{""mean"": 193.8, ""bench"": ""pyaes-56aaeac9934c9d1097"", ""payload"": ""{\""message_length\"": 240, \""num_iterations\"": 126}""}",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0
117,"{""mean"": 117.9, ""bench"": ""json_serdes-87f4f6b4073e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""search.json\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,"{""mean"": 89.4, ""bench"": ""json_serdes-7ade72e2060b"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n2560.json\""}""}",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
51,"{""mean"": 50.6, ""bench"": ""new_lr_serving-fe03e8302"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews10mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews10mb.pk\"", \""x\"": \""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly.  \""}""}",1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,"{""mean"": 89.4, ""bench"": ""json_serdes-7ade72e2060b"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n2560.json\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,"{""mean"": 167.0, ""bench"": ""chameleon-83fbfc1b3862b6"", ""payload"": ""{\""nrow\"": 216, \""ncol\"": 216}""}",0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,"{""mean"": 199.7, ""bench"": ""json_serdes-1499ec562029"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6016.json\""}""}",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0
179,"{""mean"": 178.8, ""bench"": ""cnn_serving_geol-c606f6a"", ""payload"": ""{\""img_idx\"": 1}""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,4,0,0,0,0,0,0,0,0,0,0
274,"{""mean"": 272.9, ""bench"": ""chameleon-61ea3a2d41e6e4"", ""payload"": ""{\""nrow\"": 280, \""ncol\"": 280}""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7,0,0,0,0,0,0,0
546,"{""mean"": 543.2, ""bench"": ""chameleon-1c0f690c40298c"", ""payload"": ""{\""nrow\"": 400, \""ncol\"": 400}""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,0,0,0,0,0,0,0,0,0
