avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
242,"{""mean"": 243.8, ""bench"": ""chameleon-f385b3120de5d5"", ""payload"": ""{\""nrow\"": 264, \""ncol\"": 264}""}",19,19,19,18,0,17,18,17,16,0,19,17,12,19,4,18,19,18,17,1,19,19,18,19,1,18,18,17,15,0
30,"{""mean"": 30.0, ""bench"": ""pyaes-ed4a0797fa5e08334b"", ""payload"": ""{\""message_length\"": 4736, \""num_iterations\"": 1}""}",12,12,16,20,17,21,16,16,16,11,10,12,12,13,13,14,14,14,13,14,14,12,13,12,13,13,14,14,13,14
126,"{""mean"": 126.1, ""bench"": ""json_serdes-0acf29630a34"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n3712.json\""}""}",10,4,7,7,3,1,1,1,0,0,1,3,5,12,38,28,25,22,21,23,22,20,18,18,18,17,18,17,16,15
63,"{""mean"": 63.1, ""bench"": ""matmul_fb-e07cad87291c18"", ""payload"": ""{\""N\"": 360, \""M\"": 360}""}",10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12
5,"{""mean"": 5.0, ""bench"": ""matmul_fb-d805416b5dcc45"", ""payload"": ""{\""N\"": 160, \""M\"": 160}""}",17,17,17,16,17,17,19,17,16,17,17,13,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4
16821,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",0,1,2,14,14,12,12,12,12,12,12,12,12,11,11,10,10,10,9,10,8,9,8,7,8,7,7,5,0,0
33,"{""mean"": 33.0, ""bench"": ""pyaes-06053dc636f8dd6d0b"", ""payload"": ""{\""message_length\"": 5184, \""num_iterations\"": 1}""}",8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
110,"{""mean"": 109.6, ""bench"": ""pyaes-38d72d7bbc7f134999"", ""payload"": ""{\""message_length\"": 17408, \""num_iterations\"": 1}""}",8,8,10,10,10,10,9,7,7,7,8,8,8,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
127,"{""mean"": 126.1, ""bench"": ""json_serdes-0acf29630a34"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n3712.json\""}""}",2,4,13,16,15,14,15,16,14,13,14,13,15,13,10,6,5,4,6,4,2,2,2,2,3,3,3,3,4,4
32,"{""mean"": 32.0, ""bench"": ""pyaes-c3d44c006cedf58386"", ""payload"": ""{\""message_length\"": 32, \""num_iterations\"": 101}""}",7,7,7,7,7,8,7,7,9,14,9,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7
239,"{""mean"": 237.2, ""bench"": ""pyaes-69dd8b7a51b14dfaf7"", ""payload"": ""{\""message_length\"": 512, \""num_iterations\"": 76}""}",8,8,8,7,8,8,8,8,8,6,5,5,7,6,7,8,6,7,7,6,7,7,6,6,8,7,8,8,8,8
26,"{""mean"": 26.2, ""bench"": ""image_rotate-6b036592ef8"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img146k.jpeg\"", \""ops\"": \""flip-gray_scale\""}""}",5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,9,8,7,7,7,7,7,8,7,7,7,6,5
9,"{""mean"": 9.0, ""bench"": ""pyaes-5902c26d5935239c82"", ""payload"": ""{\""message_length\"": 1472, \""num_iterations\"": 1}""}",10,8,8,8,8,8,7,6,6,5,4,4,3,4,3,4,4,5,5,5,6,6,7,7,7,7,7,8,8,8
572,"{""mean"": 567.6, ""bench"": ""chameleon-97e55569b30520"", ""payload"": ""{\""nrow\"": 408, \""ncol\"": 408}""}",5,4,4,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,9,8,8,7,7,8,7,6,6,6,5,5
12,"{""mean"": 12.1, ""bench"": ""rnn_serving-c4c74d44a747"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Greek\"", \""start_letters\"": \""QRSTUVWXYZABCDEF\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",5,5,5,5,5,5,4,4,4,4,4,3,4,4,6,6,7,7,7,7,8,7,7,7,8,8,6,6,6,7
208,"{""mean"": 208.1, ""bench"": ""json_serdes-43d9dd4d8c63"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6400.json\""}""}",5,4,3,2,3,3,3,4,4,4,5,5,5,5,5,6,7,7,7,7,7,7,6,6,6,7,8,8,7,5
52,"{""mean"": 51.5, ""bench"": ""pyaes-483015007094a16191"", ""payload"": ""{\""message_length\"": 8128, \""num_iterations\"": 1}""}",4,4,4,3,3,4,4,5,5,5,4,4,4,5,5,6,7,7,7,7,7,7,8,7,7,6,6,5,5,4
36,"{""mean"": 36.0, ""bench"": ""pyaes-0d354323215e37e33e"", ""payload"": ""{\""message_length\"": 5632, \""num_iterations\"": 1}""}",8,7,7,7,7,7,6,5,5,4,4,4,3,3,3,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6
73,"{""mean"": 72.8, ""bench"": ""chameleon-6c676a75abd8a6"", ""payload"": ""{\""nrow\"": 136, \""ncol\"": 136}""}",0,1,1,1,2,3,2,2,3,2,1,1,2,3,3,4,5,4,3,2,2,4,7,29,13,12,10,9,6,7
15,"{""mean"": 15.0, ""bench"": ""chameleon-74d4308a2a3a31"", ""payload"": ""{\""nrow\"": 32, \""ncol\"": 32}""}",3,3,3,3,4,5,9,6,6,5,5,5,5,5,5,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4
55,"{""mean"": 55.0, ""bench"": ""matmul_fb-c1c45aa2d04252"", ""payload"": ""{\""N\"": 344, \""M\"": 344}""}",3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4
3,"{""mean"": 3.0, ""bench"": ""matmul_fb-e46e1e1022c74c"", ""payload"": ""{\""N\"": 128, \""M\"": 128}""}",4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,6,13,9,7,4,4,4,7,4,4,4,4,4
857,"{""mean"": 860.5, ""bench"": ""chameleon-2c3fcfd4b22311"", ""payload"": ""{\""nrow\"": 504, \""ncol\"": 504}""}",5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5
4269,"{""mean"": 4232.6, ""bench"": ""pyaes-368569536ef6bb7292"", ""payload"": ""{\""message_length\"": 14336, \""num_iterations\"": 51}""}",5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,5,4,4,4,5,5,5,5
34,"{""mean"": 34.0, ""bench"": ""pyaes-c0f45a1de88d8747a9"", ""payload"": ""{\""message_length\"": 16, \""num_iterations\"": 151}""}",4,4,5,4,4,4,4,3,3,3,3,3,3,3,5,4,5,5,5,5,6,6,6,6,6,6,6,5,5,5
24,"{""mean"": 24.0, ""bench"": ""pyaes-b70f6240bce755fe64"", ""payload"": ""{\""message_length\"": 3776, \""num_iterations\"": 1}""}",4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,4,4,4,5,5
440,"{""mean"": 444.3, ""bench"": ""chameleon-7614e52b463374"", ""payload"": ""{\""nrow\"": 360, \""ncol\"": 360}""}",3,3,3,3,3,3,3,3,4,4,5,6,6,6,7,7,7,6,6,6,6,6,5,5,4,4,3,3,3,3
